lamb flux f_syn wei
3794.0 0.97848 0.88464 4.113
3795.0 0.99415 0.85043 3.632
3796.0 0.94792 0.80711 3.231
3797.0 0.81795 0.76056 3.824
3798.0 0.80384 0.72276 4.387
3799.0 0.8475 0.70795 4.365
3800.0 0.86782 0.72396 4.286
3801.0 0.91063 0.76568 3.806
3802.0 0.95173 0.81825 3.169
3803.0 0.87208 0.8673 2.83
3804.0 1.01606 0.90556 3.006
3805.0 1.07224 0.93195 3.279
3806.0 0.97056 0.94844 3.683
3807.0 1.00984 0.95879 3.637
3808.0 0.99259 0.9675 3.476
3809.0 1.03021 0.97748 3.195
3810.0 0.98027 0.98835 2.922
3811.0 1.15058 0.99658 3.121
3812.0 1.23111 0.99772 3.448
3813.0 0.99316 0.99014 4.28
3814.0 0.99806 0.97742 4.438
3815.0 1.07991 0.96612 4.253
3816.0 0.98135 0.96032 4.047
3817.0 0.98129 0.95809 3.594
3818.0 1.0675 0.95371 3.749
3819.0 1.0542 0.94364 4.398
3820.0 1.073 0.93072 4.827
3821.0 1.00996 0.92235 5.185
3822.0 0.93264 0.92331 5.18
3823.0 1.02122 0.93019 4.518
3824.0 1.09824 0.9346 3.869
3825.0 0.98539 0.93174 3.985
3826.0 0.93421 0.9235 4.78
3827.0 0.91274 0.91389 5.302
3828.0 0.91145 0.9041 5.54
3829.0 0.99065 0.89225 5.238
3830.0 0.96348 0.87576 5.11
3831.0 0.78248 0.85255 5.219
3832.0 0.83387 0.82094 4.636
3833.0 0.92261 0.78047 5.167
3834.0 0.82711 0.73435 6.15
3835.0 0.84741 0.692 6.655
3836.0 0.91844 0.66695 6.252
3837.0 0.83991 0.66817 6.081
3838.0 0.81671 0.69377 5.43
3839.0 0.82346 0.73406 4.652
3840.0 0.94001 0.77909 4.314
3841.0 0.91012 0.82281 4.814
3842.0 0.94377 0.86247 5.237
3843.0 0.95309 0.89649 5.557
3844.0 1.06616 0.92364 5.393
3845.0 1.17596 0.94373 4.813
3846.0 0.91334 0.9579 5.105
3847.0 1.04607 0.96759 4.045
3848.0 0.97182 0.97349 4.509
3849.0 0.93853 0.97628 5.093
3850.0 0.98749 0.97782 5.399
3851.0 0.98498 0.98045 5.602
3852.0 0.99284 0.9847 5.399
3853.0 1.09562 0.98832 4.767
3854.0 1.19379 0.98842 4.141
3855.0 1.07091 0.98441 3.972
3856.0 1.14641 0.97824 4.281
3857.0 0.98722 0.97247 5.516
3858.0 1.00523 0.96878 0.0
3859.0 0.91003 0.96773 0.0
3860.0 0.94157 0.96944 0.0
